"Sygnatura czasowa","Identyfikator","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","Wiek","Plec"
"2019/11/06 1:48:49 PM CET","31","5","3","7","5","5","10","10","2","5","9","9","7","9","6","6","9","< 20","Mężczyzna"
"2019/11/06 1:48:52 PM CET","28","1","4","2","10","4","5","4","6","5","10","1","1","8","8","10","5","< 20","Kobieta"
"2019/11/06 1:48:54 PM CET","41","5","6","7","6","10","4","5","6","7","8","6","5","4","4","3","5","> 60","Kobieta"
"2019/11/06 1:49:00 PM CET","40","1","8","8","7","4","5","6","4","4","5","3","5","5","7","3","3","< 20","Kobieta"
"2019/11/06 1:49:34 PM CET","39","3","5","4","5","3","4","4","3","8","9","5","3","7","1","5","5","< 20","Kobieta"
"2019/11/06 1:50:00 PM CET","26","2","5","2","2","2","1","3","5","3","5","2","5","5","3","5","2","< 20","Mężczyzna"
"2019/11/06 1:50:01 PM CET","43","7","8","4","6","8","6","4","9","2","7","7","5","3","10","6","8","< 20","Mężczyzna"
"2019/11/06 1:50:16 PM CET","47","4","7","6","5","3","1","2","8","1","5","5","3","5","1","5","2","< 20","Kobieta"
"2019/11/06 1:50:49 PM CET","46","2","6","4","7","3","10","8","8","5","6","4","3","4","8","4","4","> 60","Kobieta"
"2019/11/06 1:50:59 PM CET","44","4","5","3","4","7","3","2","4","7","5","6","3","5","3","8","6","< 20","Mężczyzna"
"2019/11/06 1:52:19 PM CET","35","9","5","3","2","4","1","1","2","10","1","2","8","1","4","2","1","> 60","Mężczyzna"
"2019/11/06 1:52:22 PM CET","48","1","5","4","9","5","6","10","5","5","4","3","2","2","1","8","1","< 20","Kobieta"
"2019/11/06 1:52:46 PM CET","36","10","1","7","2","3","10","10","9","4","10","10","1","10","10","1","10","< 20","Mężczyzna"
"2019/11/06 1:53:10 PM CET","45","6","5","1","1","7","5","3","5","8","4","3","5","4","6","5","5","< 20","Kobieta"
"2019/11/06 6:35:20 PM CET","75","7","3","3","9","5","8","10","1","7","5","5","1","5","8","5","5","40 - 49","Kobieta"
"2019/11/06 6:37:53 PM CET","77","1","6","2","2","6","3","2","5","7","3","5","2","5","7","1","3","50 - 59","Kobieta"
"2019/11/06 6:45:25 PM CET","78","10","10","1","10","1","1","1","10","1","6","5","10","10","1","3","1","20 - 29","Mężczyzna"
"2019/11/06 6:49:27 PM CET","79","4","6","2","7","6","6","4","8","7","9","3","2","9","9","2","3","40 - 49",""
"2019/11/06 8:15:39 PM CET","80","7","5","5","3","6","2","3","3","7","3","2","2","3","4","8","4","30 - 39","Kobieta"
"2019/11/07 10:14:56 AM CET","143","3","7","2","2","2","1","1","5","3","4","1","3","3","3","2","1","20 - 29","Mężczyzna"
"2019/11/07 12:58:53 PM CET","74","5","7","5","4","4","2","2","1","3","3","3","4","1","5","5","5","< 20","Mężczyzna"
"2019/11/07 1:00:15 PM CET","61","6","7","5","7","6","3","5","5","4","7","5","3","3","4","5","4","< 20","Mężczyzna"
"2019/11/07 1:00:21 PM CET","67","7","4","3","5","6","5","10","6","7","5","10","5","6","1","3","4","< 20","Kobieta"
"2019/11/07 1:00:32 PM CET","71","3","6","3","5","3","5","5","8","4","6","4","3","2","4","8","2","< 20","Mężczyzna"
"2019/11/07 1:01:23 PM CET","70","3","7","4","4","4","5","5","7","3","4","5","4","5","4","6","4","< 20","Mężczyzna"
"2019/11/07 1:01:34 PM CET","65","5","7","4","6","6","3","3","5","5","5","5","5","5","5","5","7","< 20","Kobieta"
"2019/11/07 1:01:43 PM CET","57","8","5","7","5","6","4","5","4","6","5","5","6","5","10","4","7","< 20","Kobieta"
"2019/11/07 1:02:09 PM CET","72","5","7","4","5","4","5","5","7","5","5","5","5","4","4","5","1","< 20","Mężczyzna"
"2019/11/07 1:02:48 PM CET","58","7","9","2","9","3","2","1","10","4","5","5","3","5","3","3","1","< 20","Mężczyzna"
"2019/11/07 1:02:52 PM CET","68","2","10","1","2","2","5","2","4","9","2","2","1","2","1","8","1","< 20","Kobieta"
"2019/11/07 1:03:02 PM CET","73","3","9","2","5","4","5","3","3","3","4","1","5","3","2","6","2","< 20","Mężczyzna"
"2019/11/07 1:03:20 PM CET","56","4","6","1","4","1","4","1","5","5","3","6","5","6","5","7","4","< 20","Kobieta"
"2019/11/07 1:03:25 PM CET","59","5","6","5","4","8","6","1","4","6","2","8","3","1","3","4","5","< 20","Mężczyzna"
"2019/11/07 1:03:33 PM CET","64","2","4","7","3","4","3","4","5","5","4","5","3","4","5","6","6","< 20","Kobieta"
"2019/11/07 1:03:35 PM CET","66","2","7","3","7","3","3","2","5","5","3","2","2","2","3","5","2","< 20","Kobieta"
"2019/11/07 1:03:38 PM CET","60","4","6","2","9","3","3","3","7","2","9","1","2","4","8","7","3","< 20","Mężczyzna"
"2019/11/07 1:04:00 PM CET","63","2","9","6","7","1","5","4","8","2","9","3","2","1","8","6","2","< 20","Kobieta"
"2019/11/07 1:04:00 PM CET","69","1","10","1","3","2","5","3","6","6","3","3","4","3","3","8","1","< 20","Mężczyzna"
"2019/11/07 1:04:28 PM CET","55","5","5","5","10","5","6","5","6","5","7","9","1","7","10","9","3","< 20","Kobieta"
"2019/11/07 1:04:35 PM CET","62","4","8","5","4","4","6","4","6","6","7","6","2","3","6","4","4","< 20","Kobieta"
"2019/11/07 1:58:39 PM CET","82","8","6","5","4","5","2","5","3","4","4","3","4","2","8","7","7","30 - 39","Kobieta"
"2019/11/07 1:58:59 PM CET","81","5","7","6","9","3","3","5","5","7","2","4","5","8","4","3","5","40 - 49","Kobieta"
"2019/11/07 2:25:15 PM CET","83","5","7","4","8","5","4","5","8","8","3","5","1","2","6","7","3","20 - 29","Kobieta"
"2019/11/07 2:28:41 PM CET","84","1","9","2","3","2","3","2","9","8","8","7","2","2","2","9","2","40 - 49","Kobieta"
"2019/11/07 5:51:17 PM CET","87","3","8","2","4","5","2","2","2","4","4","3","2","3","4","5","2","30 - 39","Mężczyzna"
"2019/11/07 5:55:18 PM CET","89","5","4","3","4","3","1","1","8","5","2","1","1","1","1","8","1","50 - 59","Kobieta"
"2019/11/07 5:57:30 PM CET","85","5","5","5","3","5","2","2","6","5","5","5","4","5","3","5","7","50 - 59","Kobieta"
"2019/11/07 6:00:50 PM CET","86","5","5","3","1","5","2","1","3","10","5","2","5","5","3","5","2","30 - 39","Kobieta"
"2019/11/08 11:35:57 AM CET","19","3","6","6","3","8","3","2","5","4","6","5","1","3","2","6","2","50 - 59","Kobieta"
"2019/11/08 2:07:11 PM CET","49","2","4","2","6","7","3","8","7","2","3","4","1","4","3","7","4","40 - 49","Kobieta"
"2019/11/11 12:43:48 PM CET","146","5","8","3","8","3","4","2","7","5","5","4","3","3","3","4","2","40 - 49","Kobieta"
"2019/11/11 12:47:10 PM CET","147","6","7","3","7","7","7","7","4","4","4","7","7","8","7","6","6","50 - 59","Kobieta"
"2019/11/11 12:49:49 PM CET","148","5","5","6","2","8","5","3","4","8","5","1","4","5","4","8","6","< 20","Mężczyzna"
"2019/11/11 12:53:02 PM CET","149","4","8","4","4","6","2","3","6","5","6","4","5","3","3","7","4","40 - 49","Mężczyzna"
"2019/11/11 8:41:12 PM CET","102","8","6","6","5","6","3","4","5","5","4","4","3","3","4","4","6","20 - 29","Kobieta"
"2019/11/11 8:41:16 PM CET","101","5","3","6","5","6","3","8","1","3","3","3","4","7","5","5","8","20 - 29","Mężczyzna"
